name,alt_name,orig_name,state,county1,county2,county3,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,year_label,end_label
ELK GROVE,NA,ELK GROVE,MO,LAFAYETTE,NA,NA,Lafayette,1851,1867,TRUE,7,17978,TRUE,16,TRUE,ELK GROVE,LAFAYETTE,MO,730092,School,Elk Grove School (historical),Lafayette,39.0555717,-93.5796579,232,1,39.0555717,-93.5796579,1821-1870,1821-1870
CARROLLTOWN,NA,CARROLLTOWN,PA,CAMBRIA,NA,NA,Cambria,1849,NA,TRUE,0,9121,TRUE,NA,TRUE,CARROLLTOWN,CAMBRIA,PA,2780008,Post Office,Carrolltown Post Office,Cambria,40.6040073,-78.7092561,657,1,40.6040073,-78.7092561,1821-1870,for business
MOLINO,NA,MOLINO,FL,ESCAMBIA,NA,NA,Escambia,1866,NA,TRUE,0,37984,TRUE,NA,TRUE,MOLINO,ESCAMBIA,FL,2783376,Post Office,Molino Post Office,Escambia,30.7224451,-87.3253419,41,1,30.7224451,-87.3253419,1821-1870,for business
QUEEN CITY,NA,QUEEN CITY,TX,CASS,NA,NA,Cass,1877,NA,TRUE,0,155022,TRUE,NA,TRUE,QUEEN CITY,CASS,TX,2731944,Post Office,Queen City Post Office,Cass,33.14329,-94.13455,101,1,33.14329,-94.13455,1871-1920,for business
LA LANDE,NA,LA LANDE,NM,DE BACA,NA,NA,DeBaca,1906,1955,TRUE,1,144704,TRUE,49,TRUE,LA LANDE,DE BACA,NM,938302,Post Office,La Lande Post Office (historical),De Baca,34.44812,-104.1341,1255,1,34.44812,-104.1341,1871-1920,1921-2000
SMARTSBURG,SMARTSBURGH,SMARTSBURG(H),IN,MONTGOMERY,NA,NA,Montgomery,1886,1899,TRUE,5,113909,TRUE,13,TRUE,SMARTSBURG,MONTGOMERY,IN,449731,Populated Place,Smartsburg,Montgomery,40.04699,-86.82862,249,1,40.04699,-86.82862,1871-1920,1871-1920
BURNS CANON,NA,BURNS CANON,NM,RIO ARRIBA,NA,NA,Rio Arriba,1923,1924,TRUE,5,129087,TRUE,1,TRUE,BURNS CANYON,RIO ARRIBA,NM,937962,Post Office,Burns Canyon Post Office (historical),Rio Arriba,36.46528,-106.7825,2459,0.9090909,36.46528,-106.7825,1921-2000,1921-2000
CAMP RUHLIN,NA,CAMP RUHLIN,SD,MEADE,NA,NA,Meade,1878,1879,TRUE,9,129590,TRUE,1,TRUE,CAMP RUHLEN,MEADE,SD,2709885,Post Office,Camp Ruhlen Post Office,Meade,44.41073,-103.4747,1007,0.9090909,44.41073,-103.4747,1871-1920,1871-1920
WADLEYS FALLS,WADLEY'S FALLS,WADLEY(')S FALLS (2),NH,STRAFFORD,NA,NA,Strafford,1838,1908,FALSE,5,59893,TRUE,70,TRUE,WADLEY FALLS,STRAFFORD,NH,870631,Populated Place,Wadley Falls,Strafford,43.0920296,-71.0078379,28,0.923076923,43.0920296,-71.0078379,1821-1870,1871-1920
LINCOLNVILLE,NA,LINCOLNVILLE,SC,BERKELEY,NA,NA,Berkeley,1883,1912,TRUE,4,32869,TRUE,29,TRUE,LINCOLNVILLE,BERKELEY,SC,1247585,Populated Place,Lincolnville,Berkeley,33.4123877,-80.1470284,26,1,33.4123877,-80.1470284,1871-1920,1871-1920
SIDNEY,NA,SIDNEY,ND,CASS,NA,NA,Cass,1882,1883,TRUE,9,158802,TRUE,1,TRUE,SIDNEY,CASS,ND,1034303,Locale,Sidney (historical),Cass,46.90414,-97.28787,290,1,46.90414,-97.28787,1871-1920,1871-1920
ELLEROY,NA,ELLEROY,IL,STEPHENSON,NA,NA,Stephenson,1850,1852,TRUE,7,80763,TRUE,2,TRUE,ELEROY,STEPHENSON,IL,1821235,Post Office,Eleroy Post Office,Stephenson,42.33355,-89.76075,276,0.8571429,42.33355,-89.76075,1821-1870,1821-1870
ACKWORTH,NA,ACKWORTH,GA,COBB,NA,NA,Cobb,1844,NA,FALSE,0,136,TRUE,NA,TRUE,ACKWORTH,COBB,GA,354258,Populated Place,Ackworth,Cobb,34.0659329,-84.6768796,277,1,34.0659329,-84.6768796,1821-1870,for business
MAPLE GROVE,NA,MAPLE GROVE,MO,JASPER,NA,NA,Jasper,1879,1894,TRUE,5,35179,TRUE,15,TRUE,MAPLE GROVE,JASPER,MO,721818,Populated Place,Maple Grove,Jasper,37.2536658,-94.1257742,335,1,37.2536658,-94.1257742,1871-1920,1871-1920
PEACH GROVE,NA,PEACH GROVE,LA,EAST FELICIANA,NA,NA,East Feliciana,1854,1855,TRUE,9,44237,TRUE,1,TRUE,BEECH GROVE,EAST FELICIANA,LA,532880,Cemetery,Beech Grove Cemetery,East Feliciana,30.8973967,-90.9537078,90,0.818181818,30.8973967,-90.9537078,1821-1870,1821-1870
PUSEYVILLE,NA,PUSEYVILLE,PA,LANCASTER,NA,NA,Lancaster,1848,1861,TRUE,7,47131,TRUE,13,TRUE,PUSEYVILLE,LANCASTER,PA,1214432,Post Office,Puseyville Post Office (historical),Lancaster,39.849549,-76.1118965,104,1,39.849549,-76.1118965,1821-1870,1821-1870
BOYD,NA,BOYD,MN,LAC QUI PARLE,NA,NA,Lac Qui Parle,1884,NA,TRUE,0,70191,TRUE,NA,TRUE,BOYD,LAC QUI PARLE,MN,2065897,Post Office,Boyd Post Office,Lac qui Parle,44.8514452,-95.9029145,321,1,44.8514452,-95.9029145,1871-1920,for business
AYRES,NA,AYRES,MO,SALINE,NA,NA,Saline,1892,1903,TRUE,5,2483,TRUE,11,TRUE,AYRES,SALINE,MO,743647,Locale,Ayres (historical),Saline,39.3050252,-93.0721412,230,1,39.3050252,-93.0721412,1871-1920,1871-1920
OSTRANDER,NA,OSTRANDER,WI,WAUPACA,NA,NA,Waupaca,1882,1898,TRUE,6,104476,TRUE,16,TRUE,OSTRANDER,WAUPACA,WI,1570880,Populated Place,Ostrander,Waupaca,44.39276,-88.83788,241,1,44.39276,-88.83788,1871-1920,1871-1920
FUNK,NA,FUNK,NE,PHELPS,NA,NA,Phelps,1888,NA,TRUE,0,138096,TRUE,NA,TRUE,FUNK,PHELPS,NE,1873989,Post Office,Funk Post Office,Phelps,40.46118,-99.25026,685,1,40.46118,-99.25026,1871-1920,for business
GROVANIA,NA,GROVANIA,GA,HOUSTON,NA,NA,Houston,1889,1952,FALSE,1,24161,TRUE,63,TRUE,GROVANIA,HOUSTON,GA,331877,Populated Place,Grovania,Houston,32.3659888,-83.6632351,132,1,32.3659888,-83.6632351,1871-1920,1921-2000
JACKSONS MILLS,JACKSON'S MILLS,JACKSON(')S MILLS,NJ,OCEAN,NA,NA,Ocean,1837,1907,FALSE,3,28963,TRUE,70,TRUE,JACKSONS MILLS,OCEAN,NJ,877394,Populated Place,Jacksons Mills,Ocean,40.1478911,-74.324036,30,1,40.1478911,-74.324036,1821-1870,1871-1920
WILTON SPRINGS,NA,WILTON SPRINGS,TN,COCKE,NA,NA,Cocke,1855,1892,FALSE,4,63001,TRUE,37,TRUE,WILTON SPRINGS,COCKE,TN,1314518,Populated Place,Wilton Springs,Cocke,35.878986,-83.1865436,364,1,35.878986,-83.1865436,1821-1870,1871-1920
