name,orig_name,state,county1,orig_county,established,discontinued,continuous,id,coordinates,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,year_label,end_label
NEW HAVEN,NEW HAVEN,CT,NEW HAVEN,New Haven,1773,NA,TRUE,40179,TRUE,TRUE,NEW HAVEN,NEW HAVEN,CT,1932480,Post Office,New Haven Post Office,New Haven,41.2992622,-72.9198216,1,1,41.2992622,-72.9198216,1770-1820,for business
BLADENSBURG,BLADENSBURG(H),MD,PRINCE GEORGE'S,Prince Georges,1776,NA,TRUE,69249,TRUE,TRUE,BLADENSBURG,PRINCE GEORGE'S,MD,2459346,Post Office,Bladensburg Post Office,Prince George's,38.9415622,-76.9322787,17,1,38.9415622,-76.9322787,1770-1820,for business
BALTIMORE,BALTIMORE,MD,BALTIMORE,Baltimore/Baltimore City,1779,NA,TRUE,66966,TRUE,TRUE,BALTIMORE,BALTIMORE,MD,1707670,Post Office,Baltimore Post Office,Baltimore (city),39.2921484,-76.6051413,6,1,39.2921484,-76.6051413,1770-1820,for business
RICHMOND,RICHMOND,VA,HENRICO,Henrico,1782,NA,TRUE,109449,TRUE,TRUE,RICHMOND,HENRICO,VA,1760351,Locale,Richmond Industrial Park,Henrico,37.51265,-77.35526,51,NA,37.51265,-77.35526,1770-1820,for business
PLEASANT RIVER,PLEASANT RIVER,ME,WASHINGTON,Washington,1791,1796,TRUE,45793,TRUE,TRUE,PLEASANT RIVER,WASHINGTON,ME,1909117,Post Office,Pleasant River Post Office,Washington,44.6532158,-67.7280584,9,1,44.6532158,-67.7280584,1770-1820,1770-1820
LITCHFIELD,LITCHFIELD,CT,LITCHFIELD,Litchfield,1792,NA,TRUE,33067,TRUE,TRUE,LITCHFIELD,LITCHFIELD,CT,1932148,Post Office,Litchfield Post Office,Litchfield,41.7462315,-73.1892888,329,1,41.7462315,-73.1892888,1770-1820,for business
RIDGEFIELD,RIDGEFIELD,CT,FAIRFIELD,Fairfield,1792,NA,TRUE,48629,TRUE,TRUE,RIDGEFIELD,FAIRFIELD,CT,1942743,Post Office,Ridgefield Post Office,Fairfield,41.2817476,-73.5004807,222,1,41.2817476,-73.5004807,1770-1820,for business
KINSALE,KINSALE,VA,WESTMORELAND,Westmoreland,1792,NA,FALSE,92850,TRUE,TRUE,KINSALE,WESTMORELAND,VA,2519626,Post Office,Kinsale Post Office,Westmoreland,38.02975,-76.5791,12,1,38.02975,-76.5791,1770-1820,for business
MENDON,MENDON,MA,WORCESTER,Worcester,1794,NA,TRUE,36796,TRUE,TRUE,MENDON,WORCESTER,MA,1980084,Post Office,Mendon Post Office,Worcester,42.1053152,-71.5522377,113,1,42.1053152,-71.5522377,1770-1820,for business
NEW LEBANON,NEW LEBANON,NY,COLUMBIA,Columbia,1794,NA,FALSE,40228,TRUE,TRUE,NEW LEBANON,COLUMBIA,NY,2780791,Post Office,New Lebanon Post Office,Columbia,42.4682314,-73.3911826,219,1,42.4682314,-73.3911826,1770-1820,for business
SULLIVAN,SULLIVAN,ME,HANCOCK,Hancock,1794,1972,FALSE,55894,TRUE,TRUE,SULLIVAN,HANCOCK,ME,1911988,Post Office,Sullivan Post Office,Hancock,44.5326678,-68.2369162,21,1,44.5326678,-68.2369162,1770-1820,1921-2000
HINGHAM,HINGHAM,MA,PLYMOUTH,Plymouth,1795,NA,TRUE,26776,TRUE,TRUE,HINGHAM,PLYMOUTH,MA,1976791,Post Office,Hingham Post Office,Plymouth,42.2429265,-70.8892512,5,1,42.2429265,-70.8892512,1770-1820,for business
MIDDLEBURG,MIDDLEBURG(H),VA,LOUDOUN,Loudoun,1797,NA,TRUE,99030,TRUE,TRUE,MIDDLEBURG,LOUDOUN,VA,1749642,Post Office,Middleburg Post Office,Loudoun,38.96801,-77.73755,148,1,38.96801,-77.73755,1770-1820,for business
HERKIMER,HERKIMER,NY,HERKIMER,Herkimer,1798,NA,TRUE,26187,TRUE,TRUE,HERKIMER,HERKIMER,NY,2598753,Post Office,Herkimer Post Office,Herkimer,43.0258363,-74.9880811,118,1,43.0258363,-74.9880811,1770-1820,for business
MONTPELIER,MONTPELIER,VT,WASHINGTON,Washington,1798,NA,TRUE,38242,TRUE,TRUE,MONTPELIER,WASHINGTON,VT,1919130,Post Office,Montpelier Post Office,Washington,44.260951,-72.5775978,159,1,44.260951,-72.5775978,1770-1820,for business
POULTNEY,POULTNEY,VT,RUTLAND,Rutland,1799,NA,FALSE,46543,TRUE,TRUE,POULTNEY,RUTLAND,VT,1922052,Post Office,Poultney Post Office,Rutland,43.5167872,-73.2353656,132,1,43.5167872,-73.2353656,1770-1820,for business
CHEMUNG,CHEMUNG,NY,CHEMUNG,Chemung,1800,NA,TRUE,10333,TRUE,TRUE,CHEMUNG,CHEMUNG,NY,2598528,Post Office,Chemung Post Office,Chemung,42.0080286,-76.623112,258,1,42.0080286,-76.623112,1770-1820,for business
DRACUT,DRACUT (1),MA,MIDDLESEX,Middlesex,1800,1899,TRUE,15900,TRUE,TRUE,DRACUT,MIDDLESEX,MA,1972465,Post Office,Dracut Post Office,Middlesex,42.6735028,-71.2955849,46,1,42.6735028,-71.2955849,1770-1820,1871-1920
PARIS,PARIS,NY,ONEIDA,Oneida,1800,NA,TRUE,43791,TRUE,TRUE,PARIS,ONEIDA,NY,959861,Populated Place,Paris,Oneida,43.0006253,-75.3137775,454,1,43.0006253,-75.3137775,1770-1820,for business
CRESAPSBURG,CRESAPSBURG,MD,ALLEGANY,Allegany,1800,1823,TRUE,76644,TRUE,TRUE,CRESAPBURG,ALLEGANY,MD,583968,Populated Place,Cresapburg,Allegany,39.59287,-78.83335,233,0.9090909,39.59287,-78.83335,1770-1820,1821-1870
