name,alt_name,orig_name,state,county1,county2,county3,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude
BENTON,NA,BENTON,NH,GRAFTON,NA,NA,Grafton,1843,1917,TRUE,4,4360,TRUE,74,TRUE,BENTON,GRAFTON,NH,871489,Populated Place,Benton,Grafton,44.1031205,-71.9017538,390,1,44.1031205,-71.9017538
MC CUNES STATION,MCCUNES STATION,MC CUNES STATION,MO,PIKE,NA,NA,Pike,1879,1920,TRUE,3,36145,TRUE,41,TRUE,MCCUNE STATION,PIKE,MO,741050,Populated Place,McCune Station,Pike,39.4056005,-91.2459786,200,0.875,39.4056005,-91.2459786
GOLDBUTTE,NA,GOLDBUTTE,MT,TOOLE,NA,NA,Toole,1895,1945,TRUE,2,139083,TRUE,50,TRUE,GOLDBUTTE,TOOLE,MT,1750016,Post Office,Goldbutte Post Office (historical),Toole,48.87362,-111.3858,1408,1,48.87362,-111.3858
REDOX,NA,REDOX,KY,LESLIE,NA,NA,Leslie,1919,1922,TRUE,4,108893,FALSE,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOOTHE,NA,BOOTHE,AR,SCOTT,NA,NA,Scott,1889,1921,TRUE,3,6038,TRUE,32,TRUE,BOOTHE,SCOTT,AR,76403,Populated Place,Boothe,Scott,35.0439851,-94.1174299,204,1,35.0439851,-94.1174299
WEBBERS FALLS,NA,WEBBERS FALLS,OK,MUSKOGEE,NA,NA,Muskogee,1856,NA,TRUE,0,164303,TRUE,NA,TRUE,WEBBERS FALLS,MUSKOGEE,OK,1819084,Post Office,Webbers Falls Post Office,Muskogee,35.51204,-95.12858,147,1,35.51204,-95.12858
LASKER,NA,LASKER,NC,NORTHAMPTON,NA,NA,Northampton,1884,NA,TRUE,0,93886,TRUE,NA,TRUE,LASKER,NORTHAMPTON,NC,1021101,Populated Place,Lasker,Northampton,36.35015,-77.30552,26,1,36.35015,-77.30552
PINKERTON,NA,PINKERTON,TX,HASKELL,NA,NA,Haskell,1901,1907,TRUE,5,153814,TRUE,6,TRUE,PINKERTON,HASKELL,TX,1380362,Populated Place,Pinkerton,Haskell,33.19871,-99.84176,506,1,33.19871,-99.84176
BIG DRY CREEK,NA,BIG DRY CREEK,CA,FRESNO,NA,NA,Fresno,1870,1893,TRUE,7,127195,FALSE,23,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MILLBROOK,NA,MILLBROOK,VA,FREDERICK,NA,NA,Frederick,1868,1871,TRUE,8,99307,TRUE,3,TRUE,MILLBROOK,FREDERICK,VA,2499247,School,Millbrook High School,Frederick,39.19124,-78.11515,203,1,39.19124,-78.11515
PAYSON,NA,PAYSON,MA,MIDDLESEX,NA,NA,Middlesex,1894,1894,TRUE,7,44188,TRUE,0,TRUE,PARSON,MIDDLESEX,MA,599131,School,Parson School,Middlesex,42.4098186,-71.1147751,10,0.833333333333333,42.4098186,-71.1147751
MOUTHCARD,NA,MOUTHCARD,KY,PIKE,NA,NA,Pike,1895,NA,TRUE,0,100961,TRUE,NA,TRUE,MOUTHCARD,PIKE,KY,2793919,Post Office,Mouthcard Post Office,Pike,37.37751,-82.25308,257,1,37.37751,-82.25308
TARR'S CREEK,TARRS CREEK,TARR'S CREEK,WI,MONROE,NA,NA,Monroe,1856,1858,TRUE,8,116863,FALSE,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REPUBLIC,NA,REPUBLIC,AL,JEFFERSON,NA,NA,Jefferson,1903,1968,TRUE,1,48234,TRUE,65,TRUE,REPUBLIC,JEFFERSON,AL,125569,Populated Place,Republic,Jefferson,33.601216,-86.8908266,125,1,33.601216,-86.8908266
BOLD SPRING,NA,BOLD SPRING,GA,FRANKLIN,NA,NA,Franklin,1852,1904,TRUE,4,5820,FALSE,52,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALPHA,NA,ALPHA,TX,FANNIN,NA,NA,Fannin,1883,1884,TRUE,7,124578,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOBBS,NA,DOBBS,GA,HART,NA,NA,Hart,1893,1895,TRUE,7,15484,FALSE,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WALLACE,NA,WALLACE,NM,SAN JUAN,NA,NA,San Juan,1879,1881,TRUE,8,163811,TRUE,2,TRUE,WALLACE,SAN JUAN,NM,896210,Locale,Wallace Ranch,San Juan,36.83889,-108.3362,1667,NA,36.83889,-108.3362
SEBEKA,NA,SEBEKA,MN,WADENA,NA,NA,Wadena,1891,NA,TRUE,0,112482,TRUE,NA,TRUE,SEBEKA,WADENA,MN,2795344,Post Office,Sebeka Post Office,Wadena,46.62974,-95.0899,422,1,46.62974,-95.0899
WALKER,NA,WALKER,KS,ELLIS,NA,NA,Ellis,1873,NA,TRUE,0,163775,TRUE,NA,TRUE,WALKER,ELLIS,KS,475301,Populated Place,Walker,Ellis,38.86723,-99.07593,592,1,38.86723,-99.07593
INDIAN CREEK,NA,INDIAN CREEK,TN,GILES,NA,NA,Giles,1833,1853,TRUE,6,28399,TRUE,20,TRUE,INDIAN CREEK,GILES,TN,1644000,Cemetery,Indian Creek Cemetery,Giles,35.1609074,-86.8930544,230,1,35.1609074,-86.8930544
RUTHERFORD,NA,RUTHERFORD,TX,PECOS,NA,NA,Pecos,1910,1911,TRUE,6,157054,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOCUST,NA,LOCUST,NJ,MONMOUTH,NA,NA,Monmouth,1893,1960,TRUE,1,33396,TRUE,67,TRUE,LOCUST,MONMOUTH,NJ,882494,Populated Place,Locust,Monmouth,40.3945534,-74.0262502,7,1,40.3945534,-74.0262502
CUSH CREEK,NA,CUSH CREEK,PA,INDIANA,NA,NA,Indiana,1890,1906,TRUE,5,13913,TRUE,16,TRUE,CUSH CREEK,INDIANA,PA,1192324,Populated Place,Cush Creek,Indiana,40.7717314,-78.8553088,518,1,40.7717314,-78.8553088
ROUGHROCK,NA,ROUGHROCK,TX,BLANCO,NA,NA,Blanco,1884,1899,TRUE,6,156763,FALSE,15,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHITTEMORE,NA,WHITTEMORE,GA,EMANUEL,NA,NA,Emanuel,1901,1904,TRUE,6,62512,FALSE,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEADLE,NA,BEADLE,MI,CALHOUN,NA,NA,Calhoun,1897,1903,TRUE,6,67587,TRUE,6,TRUE,BEADLE,CALHOUN,MI,2630179,Post Office,Beadle Post Office (historical),Calhoun,42.2688889,-85.1472222,272,1,42.2688889,-85.1472222
PAN YAN,NA,PAN YAN,WI,RACINE,NA,NA,Racine,1849,1866,TRUE,7,105004,FALSE,17,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MILSTEAD,NA,MILSTEAD,GA,ROCKDALE,NA,NA,Rockdale,1904,1963,FALSE,1,37604,TRUE,59,TRUE,MILSTEAD,ROCKDALE,GA,332397,Populated Place,Milstead,Rockdale,33.687888,-83.9921338,238,1,33.687888,-83.9921338
SAINT JOSEPH,NA,SAINT JOSEPH,FL,GULF,NA,NA,Gulf,1835,1854,TRUE,7,50543,TRUE,19,TRUE,SAINT JOSEPH,GULF,FL,307709,Cape,Saint Joseph Point,Gulf,29.8746519,-85.3868646,0,NA,29.8746519,-85.3868646
GRAND MEADOW,NA,GRAND MEADOW,MN,MOWER,NA,NA,Mower,1859,NA,TRUE,0,85817,TRUE,NA,TRUE,GRAND MEADOW,MOWER,MN,2050298,Post Office,Grand Meadow Post Office,Mower,43.70535,-92.57303,411,1,43.70535,-92.57303
TALMAR,NA,TALMAR,PA,COLUMBIA,NA,NA,Columbia,1900,1904,TRUE,6,56643,TRUE,4,TRUE,TALMAR,COLUMBIA,PA,1204798,Populated Place,Talmar,Columbia,41.2361946,-76.480225,399,1,41.2361946,-76.480225
GOODMAN'S CROSS ROADS,GOODMANS CROSS ROADS,GOODMAN'S CROSS ROADS,GA,HARRIS,NA,NA,Harris,1853,1880,FALSE,7,23060,FALSE,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BROWNS FORK,NA,BROWNS FORK,KY,PERRY,NA,NA,Perry,1946,NA,TRUE,0,71078,TRUE,NA,TRUE,BROWNS FORK,PERRY,KY,2557169,Post Office,Browns Fork Post Office (historical),Perry,37.2371833,-83.2335806,281,1,37.2371833,-83.2335806
ELKLAND,NA,ELKLAND,MI,TUSCOLA,NA,NA,Tuscola,1862,1875,TRUE,7,80703,TRUE,13,TRUE,ELKLAND,TUSCOLA,MI,2553977,Post Office,Elkland Post Office (historical),Tuscola,43.65972,-83.15417,226,1,43.65972,-83.15417
KINNICK KINNICK,NA,KINNICK KINNICK,WI,ST. CROIX,NA,NA,St Croix,1854,1882,FALSE,7,92839,FALSE,28,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CORNETTSVILLE,NA,CORNETTSVILLE,KY,PERRY,NA,NA,Perry,1896,NA,TRUE,0,76107,TRUE,NA,TRUE,CORNETTSVILLE,PERRY,KY,2556928,Post Office,Cornettsville Post Office,Perry,37.12993,-83.08177,293,1,37.12993,-83.08177
TROUT VALLEY,NA,TROUT VALLEY,WV,GREENBRIER,NA,NA,Greenbrier,1879,1894,FALSE,5,118173,TRUE,15,TRUE,TROUT VALLEY,GREENBRIER,WV,1553262,Populated Place,Trout Valley,Greenbrier,38.01679,-80.46786,690,1,38.01679,-80.46786
ASHTOLA,NA,ASHTOLA,TX,DONLEY,NA,NA,Donley,1916,1956,TRUE,1,125516,TRUE,40,TRUE,ASHTOLA,DONLEY,TX,1351311,Populated Place,Ashtola,Donley,35.00644,-101.0435,891,1,35.00644,-101.0435
HARTLAND,NA,HARTLAND,KS,KEARNY,NA,NA,Kearny,1885,1933,TRUE,2,140650,TRUE,48,TRUE,HARTLAND,KEARNY,KS,484575,Populated Place,Hartland,Kearny,37.88724,-101.3721,936,1,37.88724,-101.3721
SOUTH SPRING VALE,NA,SOUTH SPRING VALE,WI,COLUMBIA,NA,NA,Columbia,1863,1866,TRUE,7,114485,FALSE,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GILLION'S,GILLIONS,GILLION'S,GA,DOUGHERTY,NA,NA,Dougherty,1840,1866,FALSE,8,22441,FALSE,26,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLEASANT RIDGE,NA,PLEASANT RIDGE,IL,ROCK ISLAND,NA,NA,Rock Island,1848,1877,FALSE,4,106822,TRUE,29,TRUE,PLEASANT RIDGE,ROCK ISLAND,IL,424085,School,Pleasant Ridge School (historical),Rock Island,41.39253,-90.6068,232,1,41.39253,-90.6068
CROWN POINT,NA,CROWN POINT,LA,CALCASIEU,NA,NA,Calcasieu,1890,1893,TRUE,6,13647,FALSE,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECLIPSE,NA,ECLIPSE,KS,COFFEY,NA,NA,Coffey,1873,1883,TRUE,7,135189,FALSE,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JACKS,NA,JACKS,TX,NEWTON,NA,NA,Newton,1913,1916,TRUE,5,143013,FALSE,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRIFFIN,NA,GRIFFIN,WI,BURNETT,NA,NA,Burnett,1878,1881,TRUE,7,86492,FALSE,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCCLUSKY,NA,MCCLUSKY,IL,JERSEY,NA,NA,Jersey,1884,1936,TRUE,2,98126,TRUE,52,TRUE,MCCLUSKY,JERSEY,IL,413212,Populated Place,McClusky,Jersey,39.04338,-90.32039,194,1,39.04338,-90.32039
FLAG SPRING,NA,FLAG SPRING,OH,GALLIA,NA,NA,Gallia,1839,1879,FALSE,7,82761,TRUE,40,TRUE,FLAG SPRING,GALLIA,OH,1079655,Populated Place,Flag Spring,Gallia,38.72397,-82.45571,206,1,38.72397,-82.45571
NEW SALEM,NA,NEW SALEM,NY,ONTARIO,NA,NA,Ontario,1818,1820,TRUE,7,40344,TRUE,2,TRUE,NEW SALEM,ONTARIO,NY,949920,Populated Place,New Salem,Ontario,43.0320075,-77.3322092,171,1,43.0320075,-77.3322092
SCHLEY,NA,SCHLEY,KS,MCPHERSON,NA,NA,McPherson,1898,1902,TRUE,5,157987,FALSE,4,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BELLEMY,NA,BELLEMY,TN,MONTGOMERY,NA,NA,Montgomery,1891,1908,TRUE,5,4063,TRUE,17,TRUE,BELLAMY,MONTGOMERY,TN,1311453,Populated Place,Bellamy (historical),Montgomery,36.4878279,-87.57807,125,0.857142857142857,36.4878279,-87.57807
NORTH BEND,NA,NORTH BEND,IL,PIATT,NA,NA,Platt,1839,1853,TRUE,6,102793,FALSE,14,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NORTH LISBON,NA,NORTH LISBON,NH,GRAFTON,NA,NA,Grafton,1856,1904,TRUE,5,41315,FALSE,48,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAVIS,NA,DAVIS,TX,LAMAR,NA,NA,Lamar,1885,1907,TRUE,5,133513,TRUE,22,TRUE,DAVIS,LAMAR,TX,1355718,School,Davis School,Lamar,33.85371,-95.64607,159,1,33.85371,-95.64607
TWIN SISTERS,NA,TWIN SISTERS,TX,BLANCO,NA,NA,Blanco,1867,1948,TRUE,1,162581,TRUE,81,TRUE,TWIN SISTERS,BLANCO,TX,1379186,Populated Place,Twin Sisters,Blanco,30.00271,-98.4053,389,1,30.00271,-98.4053
PENCES,NA,PENCES,CA,LAKE,NA,NA,Lake,1895,1895,TRUE,8,153277,FALSE,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RIVERLAND,NA,RIVERLAND,FL,HERNANDO,NA,NA,Hernando,1890,1922,TRUE,3,48881,FALSE,32,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUMBERTON,NA,LUMBERTON,NC,ROBESON,NA,NA,Robeson,1794,NA,TRUE,0,96347,TRUE,NA,TRUE,LUMBERTON,ROBESON,NC,2774061,Post Office,Lumberton Post Office,Robeson,34.62197,-79.00522,42,1,34.62197,-79.00522
REGAL,NA,REGAL,MN,KANDIYOHI,NA,NA,Kandiyohi,1915,1974,TRUE,1,109006,TRUE,59,TRUE,REGAL,KANDIYOHI,MN,2067638,Post Office,Regal Post Office (historical),Kandiyohi,45.40722,-94.84528,372,1,45.40722,-94.84528
VOICE,NA,VOICE,SD,BUTTE,NA,NA,Butte,1911,1911,TRUE,7,163559,FALSE,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HENDERSON'S SPRING,HENDERSONS SPRING,HENDERSON'S SPRING,TN,SEVIER,NA,NA,Sevier,1858,1901,TRUE,4,26082,TRUE,43,TRUE,HENDERSONS SPRINGS,SEVIER,TN,1315219,Populated Place,Hendersons Springs,Sevier,35.8053677,-83.5923902,300,0.888888888888889,35.8053677,-83.5923902
EDDYVILLE,NA,EDDYVILLE,OR,LINCOLN,NA,NA,Lincoln,1888,NA,FALSE,0,135212,TRUE,NA,TRUE,EDDYVILLE,LINCOLN,OR,1165197,Post Office,Eddyville Post Office,Lincoln,44.63734,-123.7758,30,1,44.63734,-123.7758
JAMESTOWN,NA,JAMESTOWN,NC,GUILFORD,NA,NA,Guilford,1811,NA,TRUE,0,91272,TRUE,NA,TRUE,JAMESTOWN,GUILFORD,NC,2774003,Post Office,Jamestown Post Office,Guilford,35.99586,-79.93573,250,1,35.99586,-79.93573
BRINE,NA,BRINE,PA,SOMERSET,NA,NA,Somerset,1880,1882,TRUE,6,6926,FALSE,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CARBON GLOW,NA,CARBON GLOW,KY,LETCHER,NA,NA,Letcher,1923,1957,TRUE,1,72674,TRUE,34,TRUE,CARBON GLOW,LETCHER,KY,507649,Populated Place,Carbon Glow,Letcher,37.17982,-82.95322,396,1,37.17982,-82.95322
BASALT,NA,BASALT,ID,BINGHAM,NA,NA,Bingham,1888,NA,FALSE,0,126277,TRUE,NA,TRUE,BASALT,BINGHAM,ID,2766796,Post Office,Basalt Post Office,Bingham,43.31534,-112.1639,1399,1,43.31534,-112.1639
NIRVANA,NA,NIRVANA,MS,PANOLA,NA,NA,Panola,1897,1906,TRUE,5,40754,FALSE,9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OSAGE,NA,OSAGE,AR,BENTON,NA,NA,Benton,1836,1843,TRUE,7,43055,TRUE,7,TRUE,OSAGE,BENTON,AR,84525,Post Office,Osage Post Office,Benton,36.3530415,-94.2118409,394,1,36.3530415,-94.2118409
GRANFALLS,NA,GRANFALLS,MN,KOOCHICHING,NA,NA,Koochiching,1906,1911,TRUE,4,85864,TRUE,5,TRUE,GRANDFALLS,KOOCHICHING,MN,2105134,Post Office,Grandfalls Post Office (historical),Koochiching,48.19861,-93.7925,374,0.8888889,48.19861,-93.7925
THERESA,NA,THERESA,NY,JEFFERSON,NA,NA,Jefferson,1823,NA,FALSE,0,57140,TRUE,NA,TRUE,THERESA,JEFFERSON,NY,2618153,Post Office,Theresa Post Office,Jefferson,44.2162082,-75.7963997,125,1,44.2162082,-75.7963997
